Date,Close,Volume
,^GSPC,^GSPC
2004-01-02,1126.3299560546875,5930800000
2004-01-09,1130.52001953125,8209800000
2004-01-16,1147.6199951171875,6871900000
2004-01-23,1128.47998046875,8250600000
2004-01-30,1126.52001953125,8267800000
2004-02-06,1157.760009765625,7450900000
2004-02-13,1151.8199462890625,5572400000
2004-02-20,1143.6700439453125,7327100000
2004-02-27,1151.030029296875,7231900000
2004-03-05,1123.8900146484375,7066200000
2004-03-12,1123.75,7869800000
2004-03-19,1091.3299560546875,7264900000
2004-03-26,1126.2099609375,7089400000
2004-04-02,1140.530029296875,7460100000
2004-04-09,1128.1700439453125,5273100000
2004-04-16,1124.0899658203125,7498000000
2004-04-23,1122.4100341796875,7887000000
2004-04-30,1121.530029296875,8196400000
2004-05-07,1097.280029296875,8312700000
2004-05-14,1088.6800537109375,7078700000
2004-05-21,1114.93994140625,6612200000
2004-05-28,1124.989990234375,5109800000
2004-06-04,1131.3299560546875,6026600000
2004-06-11,1133.56005859375,4854300000
2004-06-18,1144.06005859375,6747700000
2004-06-25,1140.8399658203125,7411200000
2004-07-02,1118.3299560546875,5192600000
2004-07-09,1111.469970703125,6363700000
2004-07-16,1093.8800048828125,7304200000
2004-07-23,1095.4200439453125,7596800000
2004-07-30,1098.6300048828125,6811800000
2004-08-06,1075.7900390625,6660400000
2004-08-13,1095.1700439453125,6336700000
2004-08-20,1104.9599609375,5755900000
2004-08-27,1105.9100341796875,4992400000
2004-09-03,1116.27001953125,4503270000
2004-09-10,1120.3699951171875,6392800000
2004-09-17,1113.56005859375,6439000000
2004-09-24,1114.800048828125,6604700000
2004-10-01,1142.050048828125,7699300000
2004-10-08,1113.6500244140625,6549200000
2004-10-15,1103.6600341796875,7931100000
2004-10-22,1125.4000244140625,7950400000
2004-10-29,1143.199951171875,7951400000
2004-11-05,1162.9100341796875,7820900000
2004-11-12,1181.93994140625,7426500000
2004-11-19,1181.760009765625,6953900000
2004-11-26,1191.3699951171875,5209380000
2004-12-03,1182.81005859375,7755100000
2004-12-10,1205.719970703125,7744700000
2004-12-17,1209.5699462890625,8426200000
2004-12-24,1213.449951171875,3787000000
2004-12-31,1183.739990234375,6587400000
2005-01-07,1187.699951171875,7588300000
2005-01-14,1184.6300048828125,5941200000
2005-01-21,1174.0699462890625,8076400000
2005-01-28,1193.18994140625,8165920000
2005-02-04,1191.989990234375,7477100000
2005-02-11,1210.3399658203125,7361330000
2005-02-18,1190.800048828125,6377350000
2005-02-25,1210.0799560546875,8114510000
2005-03-04,1207.010009765625,7969950000
2005-03-11,1188.0699462890625,7657990000
2005-03-18,1172.530029296875,10107080000
2005-03-25,1181.4100341796875,7788300000
2005-04-01,1184.0699462890625,10130890000
2005-04-08,1173.7900390625,9116830000
2005-04-15,1137.5,11585420000
2005-04-22,1156.3800048828125,10260730000
