model,ROC AUC,PR AUC
LogisticRegression_balanced,0.5261756138160633,0.4485255537419285
XGBoost_v1.1,0.4771535580524344,0.38712150761327746
RandomForest_balanced,0.4606741573033708,0.377371740374289
